status,now_L,now_R,X0,X1,X2,X3,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7
straight,0,0,154,375,226,361,-1,641,-1,407,-1,481,219,481
straight,0,0,127,375,226,361,-1,641,-1,641,-1,481,219,244
straight,0,0,154,375,293,361,-1,641,-1,641,-1,481,219,249
straight,0,0,128,375,294,361,-1,641,-1,641,-1,481,218,248
straight,0,0,154,375,226,361,-1,641,-1,408,-1,442,220,249
straight,0,0,154,376,226,361,-1,641,-1,641,-1,437,220,481
straight,0,0,127,376,298,363,-1,641,-1,641,-1,481,228,481
straight,0,0,124,377,229,363,-1,641,-1,641,-1,410,231,244
straight,0,0,125,377,229,363,-1,641,-1,641,-1,408,231,244
straight,0,0,126,377,298,364,-1,641,-1,641,-1,409,230,244
straight,0,0,126,377,229,363,-1,641,-1,641,-1,410,229,245
straight,0,0,126,377,298,364,-1,641,-1,641,-1,410,231,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,411,232,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,228,245
straight,0,0,125,377,229,364,-1,641,-1,641,-1,409,231,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,230,246
straight,0,0,155,377,229,364,-1,641,-1,641,-1,408,232,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,230,244
straight,0,0,154,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,230,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,231,245
straight,0,0,155,377,229,364,-1,641,-1,641,-1,410,228,245
straight,0,0,126,377,229,363,-1,641,-1,641,-1,409,232,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,408,231,246
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,228,245
straight,0,0,126,377,229,364,-1,641,-1,641,-1,410,228,481
straight,0,0,125,377,229,364,-1,641,-1,641,-1,410,232,244
straight,0,0,124,377,229,364,-1,641,-1,641,-1,408,228,244
straight,0,0,126,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,125,377,229,363,-1,641,-1,641,-1,409,231,245
straight,0,0,124,377,229,364,-1,641,-1,641,-1,408,232,245
straight,0,0,125,377,229,364,-1,641,-1,641,-1,410,229,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,410,231,246
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,125,377,294,364,-1,641,-1,641,-1,409,229,245
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,229,246
straight,0,0,125,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,125,377,229,363,-1,641,-1,641,-1,409,231,245
straight,0,0,124,377,229,364,-1,641,-1,641,-1,409,231,481
straight,0,0,125,377,229,364,-1,641,-1,641,-1,410,231,481
straight,0,0,125,377,298,363,-1,641,-1,641,-1,410,230,245
straight,0,0,125,377,229,364,-1,641,-1,641,-1,410,229,246
straight,0,0,125,377,229,364,-1,641,-1,641,-1,409,228,244
straight,0,0,155,377,229,364,-1,641,-1,641,-1,409,231,246
straight,0,0,126,377,229,363,-1,641,-1,641,-1,408,231,245
straight,0,0,125,377,229,364,-1,641,-1,641,-1,410,231,246
straight,0,0,125,377,229,364,-1,641,-1,641,-1,409,231,244
straight,0,0,125,377,229,364,-1,641,-1,641,-1,408,229,245
straight,0,0,125,377,229,364,-1,641,-1,641,-1,408,231,246
straight,0,0,125,377,229,364,-1,641,-1,641,-1,408,231,246
straight,0,0,125,377,229,363,-1,641,-1,641,-1,410,231,244
straight,0,0,124,377,229,363,-1,641,-1,641,-1,411,229,245
